General Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
robot,0.10380894,-0.114017576,0.21782652,1.3281761,0.025,0.1665,False
neural network,0.09096028,-0.068805054,0.15976533,0.8478612,0.132,0.38925,False
machine learning,0.053771544,-0.07005714,0.12382868,0.8081224,0.173,0.38925,False
deep learning,-0.0020413576,-0.11634809,0.11430673,1.2175164,0.037,0.1665,False
language model,0.067645654,-0.0005247053,0.06817036,0.45396614,0.394,0.7092,False
chatbot,0.028022423,0.0068519115,0.021170512,0.13593765,0.794,0.946,False
artificial intelligence,-0.021024395,-0.033086866,0.012062471,0.07745661,0.876,0.946,False
AI,0.049098283,0.045069948,0.004028335,0.033140652,0.946,0.946,False
LLM,0.07578198,0.09913118,-0.023349203,-0.19452716,0.706,0.946,False
