Self Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
we,0.0017516084,-0.11147408,0.11322569,0.9567832,0.1,0.6000000000000001,False
myself,-0.038601726,-0.0777146,0.039112873,0.276424,0.599,0.987,False
self,-0.029440684,-0.06354068,0.034099996,0.2584732,0.623,0.987,False
I,-0.013279667,-0.033701994,0.020422326,0.13186352,0.79,0.987,False
me,-0.031723086,-0.045089193,0.013366107,0.09057211,0.87,0.987,False
my,-0.04496759,-0.046588864,0.0016212724,0.011827949,0.987,0.987,False
