Layer,Train_Acc,Test_Acc,Overfit,Samples
-1,1.0,0.8333333333333334,0.16666666666666663,18
-6,0.9166666666666666,0.3333333333333333,0.5833333333333333,18
-12,0.6666666666666666,0.16666666666666666,0.5,18
