Self Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
I,0.2965724,0.19280855,0.10376383,0.4216137,0.417,0.8964,False
me,-0.16109648,-0.19089504,0.029798552,0.18080387,0.747,0.8964,False
we,-0.17323788,-0.1910201,0.017782226,0.1709826,0.738,0.8964,False
my,-0.17424671,-0.17674735,0.0025006384,0.016127707,0.975,0.975,False
myself,-0.31111634,-0.24578045,-0.065335885,-0.27240545,0.609,0.8964,False
self,-0.1900168,-0.09028536,-0.099731445,-0.6065099,0.27,0.8964,False
