Self Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
me,-0.038056053,-0.10787089,0.06981484,0.8082066,0.052,0.312,False
I,-0.035227373,-0.080568984,0.04534161,0.603443,0.319,0.638,False
we,-0.05967601,-0.10447888,0.04480287,0.6844066,0.232,0.638,False
my,-0.069034,-0.09186343,0.022829428,0.31550148,0.669,0.935,False
myself,-0.06182345,-0.08331956,0.02149611,0.26256692,0.847,0.935,False
self,-0.06069266,-0.064739384,0.0040467232,0.052145336,0.935,0.935,False
