General Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
LLM,0.42643166,0.3429427,0.08348894,0.28600043,0.593,0.667125,False
artificial intelligence,-0.31220728,-0.2683814,-0.043825895,-0.18378505,0.748,0.748,False
neural network,-0.17823446,-0.07941359,-0.098820865,-0.537666,0.314,0.48857142857142855,False
robot,-0.16411895,-0.05200255,-0.1121164,-0.63305515,0.254,0.48857142857142855,False
machine learning,-0.27796805,-0.15656984,-0.12139821,-0.47135964,0.38,0.48857142857142855,False
deep learning,-0.26215136,-0.13585515,-0.1262962,-0.63569885,0.226,0.48857142857142855,False
language model,-0.2384562,-0.09573233,-0.14272387,-0.52273035,0.316,0.48857142857142855,False
AI,0.0001584664,0.16956188,-0.1694034,-0.47013554,0.362,0.48857142857142855,False
chatbot,-0.09938227,0.0923464,-0.19172867,-0.9752486,0.089,0.48857142857142855,False
