General Term,Avg Sim to Evil AI,Avg Sim to Positive AI,Score (Evil - Pos),Cohen's d,p-value,FDR-adjusted p,Flag
LLM,0.016700085,-0.051066287,0.06776637,0.7531616,0.172,0.9225,False
neural network,0.081724964,0.038822133,0.04290283,0.36499605,0.553,0.943,False
AI,0.08730499,0.06408451,0.02322048,0.12578581,0.886,0.943,False
robot,0.064966924,0.05221092,0.012756005,0.098051675,0.855,0.943,False
deep learning,0.057092756,0.06266041,-0.005567655,-0.04694052,0.934,0.943,False
artificial intelligence,0.06716964,0.07383447,-0.006664835,-0.041812446,0.943,0.943,False
chatbot,0.020717198,0.059434652,-0.038717456,-0.38684663,0.464,0.943,False
machine learning,0.013211428,0.06286254,-0.04965111,-0.39793795,0.485,0.943,False
language model,-0.0059313495,0.05502659,-0.06095794,-0.6792149,0.205,0.9225,False
